"CID","CanonicalSMILES","IsomericSMILES"
3248000,"C1CN(CCC12C(=O)N(CN2C3=CC=CC=C3)CC4=CC(=CC=C4)F)CCCC(=O)C5=CC=C(C=C5)F","C1CN(CCC12C(=O)N(CN2C3=CC=CC=C3)CC4=CC(=CC=C4)F)CCCC(=O)C5=CC=C(C=C5)F"
3292447,"CC1=C(C=CC(=C1)C2=NOC(=N2)C)C3=CC=C(C=C3)C(=O)NC4=CC(=C(C=C4)OC)OCCN(C)C","CC1=C(C=CC(=C1)C2=NOC(=N2)C)C3=CC=C(C=C3)C(=O)NC4=CC(=C(C=C4)OC)OCCN(C)C"
3385203,"C1=CC=C(C=C1)C2=NNC3=C2OC4=CC=CC=C43","C1=CC=C(C=C1)C2=NNC3=C2OC4=CC=CC=C43"
3387354,"C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C1O2)C7=C53)C(=O)NC6=O","C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C1O2)C7=C53)C(=O)NC6=O"
3601086,"CC(C)NCCN(C(C)C)S(=O)(=O)C1=C(C=C(C=C1)Cl)Cl","CC(C)NCCN(C(C)C)S(=O)(=O)C1=C(C=C(C=C1)Cl)Cl"
3729132,"C1=CC=[N+](C(=C1)[S-])O.C1=CC=[N+](C(=C1)[S-])O.[Zn+2]","C1=CC=[N+](C(=C1)[S-])O.C1=CC=[N+](C(=C1)[S-])O.[Zn+2]"
3854666,"C1=CC=C(C(=C1)NC(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])O)Br","C1=CC=C(C(=C1)NC(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])O)Br"
3894573,"CC(C)(CC1=CNC2=C1C=C(C=C2)Cl)NCCOC3=CC=CC=C3OCC4CC4","CC(C)(CC1=CNC2=C1C=C(C=C2)Cl)NCCOC3=CC=CC=C3OCC4CC4"
3906779,"C1=CC=C(C=C1)S(=O)C2=NN3C(=NN=N3)C=C2","C1=CC=C(C=C1)S(=O)C2=NN3C(=NN=N3)C=C2"
3921152,"COC1=CC2=C(C=C1)NC(=C2)C(=O)C3=CC=CC=C3","COC1=CC2=C(C=C1)NC(=C2)C(=O)C3=CC=CC=C3"
